Review,Aspects,Sentiments
"Ich war in der Werkstatt zum Reifenwechsel. Hat gut geklappt, ich konnte darauf warten.",Reifenwechsel,positive
Ich war bei Senger in Rheine. Es war alles ok.,Rheine,positive
"War nur ein Reifenwechsel, ein Reifen ist geplatzt. Jetzt wieder alles OK.",,positive
Wir sind mit der Werkstatt immer gut zufrieden.,zufrieden,positive
Es hat alles zur Zufriedenheit geklappt.,,positive
Es war alles bestens.,bestens,positive
Es hat alles sehr gut geklappt. Ich fahre schon seit 25 Jahren MB,,positive
"Ein groáes Lob an alle Mitarbeiter. Es war, wie immer, alles bestens. Reifenwechsel - ich konnte warten.","Mitarbeiter, bestens,Reifenwechsel",positive
Es war alles bestens.,bestens,positive
Wir sind sehr zufrieden.,zufrieden,positive
"Eine zus„tzliche Sicherung wird beim n„chsten Reifenwechsel mit eingebaut, diese lag in der Werkstatt noch nicht vor.",,neutral
Es war alles bestens.,bestens,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Es war alles bestens.,bestens,positive
Ich war gut zufrieden,zufrieden,positive
Wie immer - alles gut.,gut,positive
Hat alles gepasst. Dankesch”n.,alles gepasst,positive
Ich vergebe 5 Sterne.,5 Sterne,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Autohaus ist Top. Werkstatt auch.,"Top,Autohaus,Werkstatt",positive
Ich war mit dem werkstattbesuch zufrieden,"zufrieden,werkstattbesuch",positive
"Ich war dieses Mal nicht so ganz zufrieden. Ich bin lange bei Ihnen Kunde. Doch nach dem Werkstattbesuch wo ein ™lwechsel gemacht worden ist, lief dann ™l aus und lief bei mir in der Garage. Ich rief sofort den Notdienst der auch direkt kam. Das FZ wurde dann in die Werkstatt gebracht. Motorw„sche ect. dort best„tigte man mir das beim ™lwechsel ™l daneben geflossen ist, dass wurde bemerkt aber es wurde nicht gereinigt. Das finde ich halt nicht ok. Denn der ™lfleck bei mir in der Garage kommt ja auch noch dazu.","zufrieden, Kunde,™l,™lfleck,™lwechsel",negative
Wir k”nnen nicht klagen.,nicht klagen,positive
Es war alles bestens.,bestens,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Alles ok - Dankesch”n.,,positive
Mercedes Senger - einfach gut.,"einfach,Mercedes Senger",positive
Es war alles bestens.,bestens,positive
Es war alles bestens.,bestens,positive
Ich bewerte Senger mit 5 Sternen.,5 Sterne,positive
"Ich war dieses Mal nicht so ganz zufrieden. Ich bin lange bei Ihnen Kunde. Doch nach dem Werkstattbesuch wo ein ™lwechsel gemacht worden ist, lief dann ™l aus und lief bei mir in der Garage. Ich rief sofort den Notdienst der auch direkt kam. Das FZ wurde dann in die Werkstatt gebracht. Motorw„sche ect. dort best„tigte man mir das beim ™lwechsel ™l daneben geflossen ist, dass wurde bemerkt aber es wurde nicht gereinigt. Das finde ich halt nicht ok. Denn der ™lfleck bei mir in der Garage kommt ja auch noch dazu.","zufrieden, Kunde",negative
Soweit war alles i.O.,i.O.,positive
Ich war mit dem Werkstattbesuch sehr zufrieden,"zufrieden,Werkstattbesuch",positive
"Es war alles bestens, wie immer.",bestens,positive
Es war alles bestens.,bestens,positive
Soweit zufrieden. Sie drfen sich gerne wieder melden.,"zufrieden, melden",positive
Reparaturwerkstatt ist gut.,,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Bin immer bei Senger in der Werkstatt.,Werkstatt,positive
Gebe eine gute Bewertung - alles bestens.,"Bewertung, bestens",positive
Gebe eine gute Bewertung - alles bestens.,"Bewertung, bestens",positive
Ich war mit dem Werkstattbesuch zufrieden,zufrieden,positive
Es hat alles hervorragend geklappt. Ich bin wie immer sehr gut zufrieden.,zufrieden,positive
Es passt alles - wie immer.,,positive
Ich war bestens zufrieden,"bestens, zufrieden",positive
alles in Ordnung,in Ordnung,positive
Alles in Ordnung - komme wieder.,in Ordnung,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Wir k”nnen uns nicht beschweren.,,positive
Es war alles bestens wie immer.,bestens,positive
Wie immer war alles gut.,,positive
Es war alles bestens - gerne wieder.,bestens,positive
Ich bin wie immer sehr zufrieden.,zufrieden,positive
Ich war gut zufrieden.,zufrieden,positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
ich gebe 5 Sterne fr den Mercedes-Service von Senger.,,positive
Wie immer bei Senger - alles ok.,,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
"Ich wsste nicht, was gefehlt hat. Alles gut.",,positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
Es wurde alles erledigt. Danke.,,positive
Es war alles bestens wie immer.,bestens,positive
K”nnte nicht besser sein.,,positive
Ich war mit dem Werkstattbesuch zufrieden. Allerdings habe man ziemlich lange warten mssen.,"zufrieden,Werkstattbesuch, lange warten",neutral
Es war alles bestens.,bestens,positive
Wir k”nnen uns nicht beschweren.,,positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
Es war alles in Ordnung. Ich bin zufrieden.,"Ordnung, zufrieden",positive
Wir sind sehr zufrieden. Bei Senger klappt es ja eigentlich immer gut.,zufrieden,positive
Gute Werkstatt.,,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Ich kann mich nicht beklagen - es hat alles geklappt.,"geklappt, nicht beklagen",neutral
Es war alles bestens,bestens,positive
Ich bin wie immer sehr zufrieden.,zufrieden,positive
Ich bin mit dem Werkstattbesuch „uáerst zufrieden.,"zufrieden,Werkstattbesuch",positive
Wir fahren seit Jahren zu Senger. Alles gut.,seit Jahren,positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
Der Auftrag wurde wie abgesprochen durchgefhrt.,Auftrag,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war zufrieden.,zufrieden,positive
Es war alles bestens.,bestens,positive
Ich kann mich nicht beschweren.,,neutral
Ich war gut zufrieden. Bis zum n„chsten Mal.,zufrieden,positive
Ich war mit dem Werkstattbesuch zufrieden. Allerdings habe man ziemlich lange warten mssen.,zufrieden,positive
Es war alles bestens.,bestens,positive
Wir k”nnen uns nicht beschweren.,,positive
Es war alles bestens wie immer.,"bestens,wie immer",positive
Wie immer war alles gut.,,positive
Es war alles bestens - gerne wieder.,bestens,positive
Ich bin zufrieden mit dem Service gewesen.,"zufrieden, Service",positive
Es war alles bestens wie immer.,bestens,positive
Wie immer war alles gut.,,positive
Es war alles bestens - gerne wieder.,"bestens,gerne wieder",positive
Es war alles bestens.,bestens,positive
Senger hat eine gute Werkstatt.,gute Werkstatt,positive
Ich war mit dem Werkstattbesuch ziemlich zufrieden.,"zufrieden,Werkstattbesuch",positive
Ich gebe 5 Sterne fr den Service.,"Service,5 Sterne",positive
Wir kommen seit Jahren - immer gut.,seit Jahren,positive
Senger hat eine gute Werkstatt.,Werkstatt,positive
Alles OK gewesen. Danke und gerne wieder.,Alles ok,positive
"Es war alles bestens wie immer. Was ich nur ein wenig schade fand war die Tatsache, dass mein FZ nicht gewaschen wurde. Ansonsten bin ich aber absolut zufrieden.","bestens, zufrieden",neutral
Alles so wie es sein sollte. Gerne immer wieder.,wie es sein sollte,positive
5 Sterne!,5 Sterne,positive
Es war alles bestens wie immer.,bestens,positive
Es war alles bestens.,bestens,positive
Es war alles bestens wie immer.,bestens,positive
Ich bin mit Senger zufrieden.,zufrieden,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Gute Werkstatt. Es war alles ok.,Werkstatt,positive
Ich bin zu 100 % zufrieden. Es war alles top in Ordnung.,"zufrieden, Ordnung",positive
Es war alles bestens wie immer.,bestens,positive
Es war alles bestens.,bestens,positive
Gute Werkstattleistung.,,positive
Ich war bestens zufrieden,"bestens, zufrieden",positive
Es war alles bestens wie immer.,bestens,positive
Wie immer - gerne wieder.,gerne wieder,positive
Wir k”nnen uns nicht beschweren. Alles war gut.,nicht beschweren,positive
Wie immer - gerne wieder.,gerne wieder,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war soweit mit dem Werkstattbesuch zufrieden,zufrieden,positive
"Ich war mit dem Werkstattbesuch zufrieden. Allerdings hat die Reparatur sehr lange gedauert, ohne vorherige Information. Auch im nachhinein wurde nicht gesagt warum die Reparatur so lange gedauert hatte.","zufrieden, Reparatur,lange gedauert, Reparatur",positive
Ich habe keinen Grund mich zu beschweren. Alles gut.,beschweren,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich bin sehr zufrieden mit dem Werkstattbesuch.,"zufrieden,Werkstattbesuch",positive
Ich war mit dem Werkstattbesuch gut zufrieden.,"zufrieden,Werkstattbesuch",positive
Es hat alles bestens geklappt. Neue Navi-Software wurde aufgespielt. Alles unkompliziert. Es sind alle Mitarbeiter sehr freundlich und zuvorkommend.,"bestens, unkompliziert, Mitarbeiter, freundlich,Navi-Software",positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Immer war alles in Ordnung.,in Ordnung,positive
Wir waren mit dem Service zufrieden.,"Service, zufrieden",positive
"Mein Mann war mit dem FZ in der Werkstatt. Soweit ich weiá, war er zufrieden. Ich habe nichts negatives geh”rt.","zufrieden,nichts negatives",positive
Es hat alles wunderbar geklappt.,geklappt,positive
"Mit dem Service-Berater und den durchgefhrten Arbeiten bin ich ganz gut zufrieden. Allerdings l„sst die Administration sehr zu wnschen brig. Es muss noch etwas bzgl. der Rg. gekl„rt werden. Es ist aber sehr schwierig, immer den richtigen Ansprechpartner zu bekommen.","zufrieden,Service-Berater, Arbeiten, Administration, Ansprechpartner",positive
Ich war mit dem Reifenwechsel „uáerst gut zufrieden.,zufrieden,positive
Ist alles gut gewesen.,gut,positive
Wir fhlen uns gut aufgehoben.,gut,positive
Es hat alles wie abgesprochen geklappt.,geklappt,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Es war alles bestens wie immer.,bestens,positive
Es hat alles wunderbar geklappt,wunderbar,positive
Bin zufrieden - war alles in Ordnung.,"zufrieden, Ordnung",positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Ich war mit dem Service fr unseren Benz zufrieden.,"Service, zufrieden,Benz",positive
Mein Sohn war mit dem Werkstattbesuch „uáerst gut zufrieden.,"zufrieden,Sohn",positive
Es war alles bestens wie immer.,bestens,positive
Bin zufrieden - war alles in Ordnung.,"zufrieden, Ordnung",positive
Es hat alles wunderbar geklappt,wunderbar,positive
Wir hatten keinen Grund zur Klage.,Klage,positive
Es war alles bestens wie immer.,bestens,positive
Bin zufrieden - war alles in Ordnung.,"zufrieden, Ordnung",positive
Es hat alles wunderbar geklappt,,positive
Ich war mit dem Werkstattbesuch zufrieden. Allerdings k”nnte der Service insgesamt etwas straffer organisiert werden.,"zufrieden, Service,straffer",neutral
Hier bin ich gut aufgehoben.,,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Wir sind zufrieden mit dem Service bei Senger.,"zufrieden, Service, Senger",positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Wir k”nnen uns nicht beschweren. Alles gut.,nicht beschweren,positive
Ich kann nicht meckern. Vielen Dank.,nicht meckern,neutral
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Es hat alles wie abgesprochen geklappt.,geklappt,positive
Ich war mit dem Werkstattbesuch zufrieden,"zufrieden,Werkstattbesuch",positive
Es war alles bestens wie immer.,bestens,positive
Es war alles gut. Danke.,,positive
Wir sind zufrieden mit der Werkstatt.,"zufrieden,Werkstatt",positive
"Ich bin mit dem letzten Werkstattbesuch zufrieden. Allerdings habe ich ein anderes Anliegen. Ich habe in zwei Wochen einen Termin fr ein Upgrade von meinem Navi. Ich bin davon ausgegangen, dass das erste Upgrade fr mich kostenlos ist. Man sagte mir aber, dass dies nur innerhalb der ersten drei Jahre kostenlos sei und ich das Upgrade jetzt bezahlen msse. Darauf wurde ich aber nie hingewiesen. Vielleicht k”nnte man mir hier entgegenkommen.",zufrieden,negative
"Ich war mit dem Werkstattbesuch zufrieden. Ich bem„ngel (bin im Besitz eines VIP-Passes) bei allen Werkstattbesuchen in den vergangen Jahren (2013, 2014,2015) war es nicht einmal m”glich w„hrend des Werkstattbesuches ein Ersatzfahrzeug zu bekommen. Angeblich gerade nie eines zu Verfgung.","zufrieden,Werkstattbesuch, VIP-Passes, Ersatzfahrzeug",negative
Ich bin mit dem Werkstattbesuch zufrieden. Es war alles bestens.,"zufrieden, bestens,Werkstattbesuch",positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
Gute Mercedes-Werkstatt.,Mercedes-Werkstatt,positive
Es hat alles hervorragend geklappt. Wir sind immer sehr gut mit Senger zufrieden.,"zufrieden,hervorragend, Senger",positive
Habe nichts zu bem„ngeln. Gerne wieder.,nichts zu bem„ngeln,positive
Wir k”nnen nicht klagen. Dankesch”n.,nicht klagen,positive
Ich war mit dem Werkstattbesuch zufrieden. Leider wurde das Auto nicht gewaschen.,"zufrieden,Werkstattbesuch, Auto, nicht gewaschen",negative
Ich war mit dem Werkstattbesuch zufrieden. Leider wurde das Auto nicht gewaschen.,zufrieden,negative
Alles in Ordnung.,in Ordnung,positive
Keine Klagen. Vielen Dank.,Keine Klagen,positive
Es war alles bestens.,bestens,positive
Es war alles bestens wie immer.,bestens,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war nicht zufrieden; musste 2 Wochen auf das Ersatzteil warten.,zufrieden,negative
Komme immer zu Senger.,"Senger, komme",positive
Ich war zufrieden.,zufrieden,positive
Wir sind immer gut zufrieden.,zufrieden,positive
Es war alles bestens wie immer.,bestens,positive
TOP Kundendienst,Kundendienst,positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
K”nnte nicht besser gelaufen sein.,,positive
Komme immer zu Senger.,Senger,positive
Alles gut gelaufen - vielen Dank.,gut,positive
Ich war nicht zufrieden; musste 2 Wochen auf das Ersatzteil warten.,"nicht zufrieden, Ersatzteil",negative
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
Habe nichts zu bem„ngeln. Gerne wieder.,nichts zu bem„ngeln,positive
Gute Werkstatt - wir kommen immer hierher.,Gute Werkstatt,positive
Wir waren sehr gut zurfrieden.,zurfrieden,positive
Ich war nicht zufrieden. Die Dieselleitung wurde besch„digt.,"nicht zufrieden, Dieselleitung, besch„digt",positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war mit dem Werkstattbesuch zufrieden.,"zufrieden,Werkstattbesuch",positive
Von der Terminvereinbarung bis Service alles gut.,"Service,Terminvereinbarung",positive
"Insgesamt war ich mit dem Werkstattbesuch sehr zufrieden. Ein Punkt hat mich allerdings etwas gest”rt. Meine Schlsselbatterie musste ausgetauscht werden und da es sich bei meinem FZ um ein Leasing-FZ handelt habe ich gedacht, dass die Kosten nicht von mir zu tragen sind. Der Austausch der Batterie wurde mir aber in Rg. gestellt. Am Samstag habe ich diesbezglich bereits mit einer Dame gesprochen und um RR gebeten, um die Rg. zu kl„ren. Bis jetzt kam aber leider nichts.","zufrieden, Kosten, Schlsselbatterie, Rg",negative
Es war alles bestens wie immer.,bestens,positive
Es war alles bestens.,bestens,positive
Ich habe nichts zu bem„ngeln.,nichts zu bem„ngeln,positive
Es war alles bestens wie immer.,bestens,positive
"Ich bin bestens zufrieden mit dem Werkstattbesuch. Das FZ l„uft wieder so, wie es sein soll","bestens, zufrieden",positive
Ich bin mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Es hat alles super geklappt. Ich bin sehr zufrieden.,"super, zufrieden",positive
Alles gut. Gerne wieder,,positive
Es war alles bestens wie immer.,bestens,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Gerne wieder. Vielen Dank.,,positive
"Insgesamt war ich mit dem Werkstattbesuch sehr zufrieden. Ein Punkt hat mich allerdings etwas gest”rt. Meine Schlsselbatterie musste ausgetauscht werden und da es sich bei meinem FZ um ein Leasing-FZ handelt habe ich gedacht, dass die Kosten nicht von mir zu tragen sind. Der Austausch der Batterie wurde mir aber in Rg. gestellt. Am Samstag habe ich diesbezglich bereits mit einer Dame gesprochen und um RR gebeten, um die Rg. zu kl„ren. Bis jetzt kam aber leider nichts.","zufrieden, Kosten",negative
Wie gewohnt super Service.,"super, Service",positive
"Wir sind schon sehr lange Kunde von Senger, wir sind immer sehr gut zufrieden.","Kunde, zufrieden",positive
Wir sind eigentlich immer zufrieden.,zufrieden,positive
Gute Benz-Werkstatt.,,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Nichts zu bem„ngeln.,,positive
Es war alles zur Zufriedenheit.,,positive
Senger hat einen guten Service.,Service,positive
"Wir waren und sind mit Senger sehr zufrieden. Wir haben den ML letztes Jahr gekauft und jetzt verlor er ™l. Wir hoffen das irgendetwas auf Kulanz bernommen wird. Die Scheibenwischer wurden nicht ausgetauscht und im Aschenbecher funktioniert das Licht nicht, da sollte auch erneuert werden, da wir in den Aschenbecher immer unseren Schlssel legen.",zufrieden,negative
Es hat alles bestens geklappt. Ich bin sehr gut zufrieden.,"bestens, zufrieden",positive
Ich habe keinen Grund zur Klage.,,positive
Ich bin schon sehr viele Jahre treuer Kunde. Mit Service und Leistung gut zufrieden.,"Kunde, Service, Leistung, zufrieden",positive
Ich war gut zufrieden.,zufrieden,positive
Es war alles bestens.,bestens,positive
Bei dem Werkstattbesuch hat alles super geklappt. Ich bin sehr zufrieden.,"super, zufrieden",positive
Es war alles bestens wie immer.,bestens,positive
"Ich bin mit dem Werkstattbesuch nicht zufrieden, da der Werkstatttermin viel zu lange gedauert hat. Mein FZ sollte fr ca. eine halbe Stunde in die Werkstatt. Um 10.30 Uhr hatte ich einen Termin, um 13.00 Uhr saá ich allerdings immer noch in der Werkstatt. Das kann und darf nicht sein.",zufrieden,negative
Ich bin mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Ich war sehr zufrieden.,zufrieden,positive
Ich habe keinen Grund zu klagen.,,positive
Ich war sehr zufrieden.,zufrieden,positive
war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Alles Top. Keine Beschwerde.,"Top, Beschwerde",positive
Es war alles in Ordnung - wie immer.,Ordnung,positive
Vom Service her und von der Termineinhaltung hat alles bestens geklappt. Zu den durchgefhrten Arbeiten kann ich natrlich nicht viel sagen.,"Service, bestens, sagen",neutral
Kann nicht meckern. Alles ok.,,neutral
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Ich bin schon lange Kunde hier.,Kunde,neutral
Es war alles bestens wie immer.,bestens,positive
Es war alles bestens wie immer,bestens,positive
Es war alles gut. Ich bin wie immer sehr zufrieden.,zufrieden,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Es war alles bestens. Es ist auch bei StarLack was lackiert worden. Das ist hundertprozentig geworden.,bestens,positive
Bin mit der Werkstatt zufrieden.,zufrieden,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Wie immer alles gut.,,positive
Ich bin immer zufrieden mit der Werkstatt.,zufrieden,positive
"Ich bin ver„rgert, mein Fahrzeug hatte Wildverbiss, dies wurde auf der Rechnung nicht vermerkt. Ich brauchte eine separate Rechnung, damit ich diesen Schaden bei der Versicherung einreichen kann. Meine Scheinwerferreinigungsanlage lief nicht und beide Motoren standen fest. Dafr braucht man die Motoren nicht ausbauen, es kann in 3 Min. mit Durchmessen festgestellt werden, dass sie defekt sind. Diese Kosten werde ich nicht bernehmen.","Schaden, Versicherung, Kosten",negative
Kann mich nicht beklagen - alles gut.,,neutral
Es war alles bestens wie immer.,bestens,positive
Ich war gut mit dem Werkstattbesuch zufrieden. Service alles top.,"zufrieden, Service",positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
5 Sterne - besser geht nicht.,,positive
"Ich war mit dem Werkstattbesuch soweit zufrieden, werde aber noch einmal, wie mit Herrn Mller besprochen, in die Werkstatt kommen, da immer noch etwas Khlflssigkeit ausl„uft.",zufrieden,neutral
Es war alles bestens - wie immer gerne wieder.,bestens,positive
War alles in Ordnung.,Ordnung,positive
Es war alles bestens wie immer.,bestens,positive
Gute Werkstatt in Rheine.,Rheine,positive
Ich war sehr mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Alles ok. Bin zufrieden.,zufrieden,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war mit dem Mercedes in der Werkstatt. Alles gut gewesen.,,positive
Wie gewohnt alles gut.,,positive
Ich war schon pers”nlich bei Ihnen und habe mich beschwert. Ich war nicht zufrieden mit der Werkstatt.,zufrieden,negative
Ich war mit dem Service zufrieden.,"Service, zufrieden",positive
Gute Mercedes-Werkstatt.,,positive
Er war „uáerst gut mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Wie immer ein guter Service.,Service,positive
Die Sengerwerkstatt ist gut.,,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Die Werkstatt hat gut gearbeitet.,,positive
Es hat alles wunderbar geklappt.,,positive
Ich war zufrieden mit der Werkstatt von Senger,zufrieden,positive
Ich war sehr gut zufrieden.,zufrieden,positive
Alles wurde wie vereinbart erledigt.,,positive
"Ich war nicht zufrieden. Der Keilriemen ist runtergesprungen. Ich habe mich ber die Kosten beschwert und ich kann nicht verstehen, dass sowas passieren kann. Vor allem weil ich noch mit 15.000KM die B-Durchsicht machen lassen habe.","zufrieden, Kosten",negative
Der Service ist gut.,Service,positive
Es war alles bestens.,bestens,positive
Mein Auto war in der Werkstatt gut aufgehoben.,,positive
Habe nichts zu meckern.,,positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Es war alles bestens wie immer.,bestens,positive
Ich war zufrieden mit dem Service.,"zufrieden, Service",positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Ich warmit dem Service zufrieden.,"Service, zufrieden",positive
Wie gewohnt super Service.,"super, Service",positive
Wie immer ein guter Service.,Service,positive
Ich warmit dem Service zufrieden.,"Service, zufrieden",positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Wie immer ein guter Service.,Service,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
wir waren mit dem Werkstattbesuch sehr zufrieden.,zufrieden,positive
Sehr guter Service - alles bestens.,"Service, bestens",positive
Ich war mit dem Reifenwechsel sehr gut zufrieden.,"Reifenwechsel, zufrieden",positive
Ich war bestens zufrieden.,"bestens, zufrieden",positive
Ich zum Reifenwechsel. Alles ok.,,positive
"Ich bin mit dem Werkstattbesuch nicht vollst„ndig zufrieden. Meiner Meinung nach ist die Lenkung nach der Reparatur irgendwie anders wie vorher. Ich werde mich telef. melden zwecks Terminabssprache, damit die Lenkung nochmals berprft werden kann.","zufrieden, Reparatur, melden",positive
Ich war bestens zufrieden. Kompetente und freundliche Mitarbeiter.,"bestens, zufrieden, Mitarbeiter",positive
Ich bin nicht zufrieden. Mein Fzg ist am Rosten. Beim letzten Service wurde ich nicht drauf hingewiesen. Ich werde mich diesbezglich nochmal schriftlich melden und dem Hersteller eine Kopie zukommen lassen.,"zufrieden, Service, melden",negative
"Ich war in den Anf„ngen nicht zufrieden. Ich habe das Auto auch bei Senger gekauft. Probleme mit Feuchtigkeit und Reifen. War frher bei Beresa und habe dann zu Senger gewechselt. Ich hoffe, dass es in der Zukunft besser wird.","zufrieden, Probleme",negative
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Es war alles bestens wie immer.,bestens,positive
Keine Beanstandungen - ich bin zufrieden,zufrieden,positive
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Mit dem Werkstattbesuch war ich soweit zufrieden.,zufrieden,positive
Es hat alles wunderbar geklappt.,,positive
"Ich war mit dem Werkstattbesuch nicht zufrieden. Der Klingelton fr den Sicherheitsgurt, nicht angeschnallt, ist weg und auch das Navi funktioniert nicht mehr.","zufrieden, weg",negative
"Ich war mit dem Werkstattbesuch zufrieden. Aber ich musste anstatt eine Stunde; wie angegeben, 4 Stunden auf mein FZ warten mssen.",zufrieden,negative
Ich war mit dem Werkstattbesuch zufrieden.,zufrieden,positive
Mit dem Werkstattbesuch war ich soweit zufrieden.,zufrieden,positive
