Username,Review,date,Rating,Total
Lena Sophie M.,"Miserabler Service-hoffentlich muss man dort nie,nie nie die Service-hotline anrufen ....falls überhaupt jemand dort im Telefon-Support arbeitet,für mich war er nie erreichbar. Keine Antwort auf Mails über das Portal ...Tage ,bis ein Fax beantwortet wird...",1/31/2018 20:58,1,5
Christine H.,"Wir haben noch immer keine Versicherungsunterlagen, da noch mit der Vorversicherung die SF-Klassen geklärt werden müssen, seit bereits mehr als 3 Monate.",1/31/2018 20:00,1,5
Britta R.,"Da ich mich nicht registriert habe, muss ich mehr zahlen als bei meiner alten Versicherung. Nie wieder",1/30/2018 21:23,1,5
Thomas O.,-Lache wenn Du weinen musst!!!,1/30/2018 20:23,1,5
Azad A.,Nichts,10/19/2018 8:40,2,5
Birgitt O.,"Leider musste man mehrmals reklamieren, um überhaupt eine Antwort zu erhalten ob die Versicherung zustande kommt. Rechnung wurde erst nach schriftlicher Aufforderung Mitte Januar 18 übersandt! Sehr schlechter Service!",2/6/2018 14:58,2,5
Regina K.,Punktabzug wegen Beitzragserhöhung in Folgejahr:-(,10/27/2018 13:09,3,5
Bernhard B.,keine vorkommnisse,10/23/2018 10:47,3,5
Ellen N.,Noch keine Erfahrungen gesammelt,10/20/2018 13:19,3,5
Olivia B.,"Da alles online bearbeitet wird ist eine Einschätzung der Leistungen für mich nicht relevant 
Die Bearbeitung meines Vertrages war mit großer Zeitverzögerung verbunden das hat mir überhaupt nicht gefallen.",10/19/2018 15:06,3,5
Ralf T.,Preis,10/19/2018 12:57,3,5
Ana Cruz C.,Nicht gut gefallen hat mir das sie die Schadensfreirabatt nicht gewährt hat aufgrund das die alte Versicherung mist gebaut hatte,10/19/2018 7:14,3,5
Meike F.,"Der günstige Preis. 
Alles andere kann ich noch nicht beurteilen, da ich ja noch keinen Schaden hatte .",2/9/2018 14:49,3,5
Friedrich M.,Der Preis,1/31/2018 12:45,3,5
Frank R.,"Kriege Nachts ab 2 Uhr Emails, die sich im laufe des tages wiederholen weil ich die um 2 Uhr Nachts noch nicht gelesen habe.",1/31/2018 9:04,3,5
Edmund D.,"wollten die Daten von dem Vorversicherer haben, also die Police von 2017?
bis heute noch keine Rückantwort in Bezug Vertrag 2018?
keinerlei zwischen Informationen zum Vertrag ??????????????",1/30/2018 20:19,3,5
Thomas K.,mann musste mehrfach nachfragen beim Vorgänger wegen der Prozente,1/30/2018 17:35,3,5
Sabine M.,"Die Versicherung war, im Vergleich zu anderen relativ günstig, auch waren die Unterlagen schnell da, bisher bin ich zufrieden",1/30/2018 13:24,3,5
Günter P.,Preis Leistung,1/30/2018 10:43,3,5
Knoll H.,"Die Versicherung ist Telefonisch und auch per Email nicht erreichbar.
Sehr schlechter Service.",1/29/2018 19:54,3,5
Klaus S.,alles top,11/27/2018 15:52,4,5
Dusko G.,Einfach!,10/25/2018 6:29,4,5
Christopher S.,"2. Windschutzscheiben, gerissen aufgrund von Steinschlägen, kurz hintereinander hat die Teilkasko ohne Probleme und Unterstellungen  übernommen.",10/22/2018 11:04,4,5
Gabriela S.,"der Preis stimmt,lange Bearbeitung auf onelinfragen ich habe ewig auf eine Antwort gewartet",10/21/2018 11:29,4,5
Elham M.,Gutes preisleistungsverhältnis,10/21/2018 9:08,4,5
Heinz-Theo P.,Verstaendlichkeit der Vertragsunterlagen,10/20/2018 12:31,4,5
Liane K.,Ryd ist toll!,10/19/2018 22:15,4,5
dieter t.,io,10/19/2018 13:39,4,5
dieter t.,io,10/19/2018 13:39,4,5
Wolfgang C.,Günstiger Jahresbeitrag und einen Bonus von Check24.,10/19/2018 12:44,4,5
Frank H.,War alles p.k,10/19/2018 10:43,4,5
Stanley W.,Preis-/Leistung,10/19/2018 9:01,4,5
Monika F.,"Unkomplizierte Abwicklung während der Laufzeit und auch bei Kündigung. 
Kein Schadenfall, daher keine Aussage zum Schadenservice möglich.",10/19/2018 7:04,4,5
Sebastian P.,"Gutes Preis-Leistungsverhältnis. Kostenloser Fahrzeugdongle mit App in cooperation mit Ryd 
Der einzige Nachteil war das ich nach Fahrzeugwechsel nicht einfach das Fahrzeug in der Versicherung ändern konnte ( ist bei anderen Versicherungen möglich)",10/18/2018 19:32,4,5
Francesco V.,der preis,10/18/2018 17:06,4,5
Rene P.,Kann ich nivhts zu sagen hab es nicht gebraucht,10/18/2018 16:13,4,5
Sabine H.,Servicequalität,10/18/2018 8:17,4,5
Peter R.,Es bestand kein Kontakt.,10/18/2018 7:05,4,5
Francesco C.,Verständlichkeit,2/22/2018 15:03,4,5
Daniel K.,"zunächst hatte der Übergang alte auf neue Vers. nicht funktioniert, da die neue ab Januar zu laufen begann und die alte noch bis Juni lief. Konnte das Problem aber online unkompliziert lösen und habe auch das eingezogene Geld zurückbekommen.",2/7/2018 14:41,4,5
Klaus S.,alles super,2/5/2018 14:26,4,5
Mike G.,Versicherungswechsel ging ohne großen Aufwand. Informationen kamen schnell und ausführlich. Minus- bisher noch nichts.,2/4/2018 11:39,4,5
Uwe K.,Schnelle Bearbeitung u. günstiger Preis,2/3/2018 18:59,4,5
Günter N.,schnell und einfach,2/3/2018 14:00,4,5
Dennis F.,"Schneller, einfacher Service und klar ersichtlicher Leistungsumfang",2/1/2018 21:12,4,5
Michael K.,"dahinter steckt namhafte Versicherung, einfach, preisgünstig, gut bewertet",2/1/2018 14:04,4,5
Jasmin B.,Service Qualität,1/31/2018 20:11,4,5
Petra R.,"Leistung, verständliche unkomplizierte Verträge.",1/31/2018 16:31,4,5
Nicole H.,"Alles gut verständlich, reibungslos Abwicklung",1/31/2018 13:43,4,5
Andrea B.,faire Preise,1/31/2018 11:58,4,5
Sven S.,gutes Preis-/  Leistungsverhältnis. sehr freundliche & nette Mitarbeiter,1/31/2018 11:52,4,5
Andrea K.,"Beitrag,  Service",1/30/2018 23:30,4,5
Jawad M.,Preis und Freundlichkeit der Mitarbeiter.,1/30/2018 22:04,4,5
Gabriele F.,schnelle Bearbeitung,1/30/2018 21:40,4,5
Thomas B.,Preis/Leistungsverhältnis,1/30/2018 21:06,4,5
Irina W.,Ich kann nicht viel sagen.Bin erst seit einem Monat hier versichert.Versicherung abgeschlossen wegen Preis und Leistung.,1/30/2018 20:45,4,5
Mirko H.,Preis-Leistung,1/30/2018 20:25,4,5
Sascha B.,Der preis,1/30/2018 20:07,4,5
Stefan S.,Es ging alles unkompliziert und reibungslos.,1/30/2018 19:50,4,5
Danuta T.,Nette Menschen,1/30/2018 17:14,4,5
Ingo V.,"Gute Tarife, einfache Handhabung.",1/30/2018 16:49,4,5
Silvia S.,Günstige Versicherung hat alles gut geklappt,1/30/2018 15:11,4,5
Ulrike E.,"Ging alles schnell.Sogar internationale Versicherungskarte  bekommen.
Fehlt kleine Karten für Fahrzeugpapiere die man bei einem Unfall dem Unfallgegner geben kann.",1/30/2018 14:01,4,5
Johann H.,war ales OK.,1/30/2018 13:35,4,5
Tatjana F.,"kann ich noch nicht sagen, auf alle fälle der günstige Preis",1/30/2018 13:04,4,5
Knut Christian T.,Schneller unkomplizierter Wechsel,1/30/2018 12:35,4,5
Diego B.,Alles ohne Probleme!,1/30/2018 12:11,4,5
Wolfgang C.,Bei Abschluß war unklar ob HDI den Zugangscode per Hanhy oder per Post mitteilt. Sonst schneller und guter Ablauf des Vertragswecksels.,1/30/2018 11:59,4,5
Alexander J.,Völlig unkompliziert,1/30/2018 9:08,4,5
Jürgen L.,unkoplizierte Abwicklung,1/30/2018 6:59,4,5
Hildegard v.,Bin mit allem voll zufrieden,10/29/2018 10:02,5,5
Sandra P.,Sehr gute Zusammenarbeit und Kommunikation,10/24/2018 5:02,5,5
Sandra P.,Sehr guter Service und Kommunikation im Schadenfall,10/24/2018 5:02,5,5
Irina W.,ist günstig,10/23/2018 10:31,5,5
Lalitha Angelica D.,Hatte Nichts was angefallen wäre,10/22/2018 17:14,5,5
Edeltraud S.,Leistungen und Preis,10/22/2018 13:41,5,5
Daniela B.,Es war ein rundum guter Service. Freundlich und zuvorkommende Mitarbeiter.,10/21/2018 22:27,5,5
Robert B.,"Verständliche Vertragsunterlagen, schnelle Abwicklung des Wechsels, sehr gutes Preis-Leistungsverhältnis, keine penetranten Werbe- und/oder Kommunikations-Emails seit Vertragsstart.",10/21/2018 14:05,5,5
Rainer W.,der Wechsel ging zügig ohne Komplikationen über die Bühne!!,10/20/2018 20:14,5,5
Thomas B.,Schnelle und unkomplizierte Regulierung (vollkasko),10/20/2018 9:12,5,5
Michael E.,Bisher gab es keine Probleme,10/20/2018 7:31,5,5
Frank D.,Sehr guts Preis-/Leistungsverhältnis,10/19/2018 20:37,5,5
Bernd K.,Preis - Leistungsverhältnis sehr gut,10/19/2018 18:43,5,5
Irmgard S.,Super Ablauf,10/19/2018 18:19,5,5
Horst G.,Problemloser Vertragsabschluss,10/19/2018 16:58,5,5
Nina W.,Ist alles ok,10/19/2018 15:43,5,5
Cornelia S.,Sehr gute und umfangreiche Leistungen,10/19/2018 14:06,5,5
Marcel S.,Problemlos und zügig die nummer zum anmelden bekommen. Alle papiere schnell gesendet.,10/19/2018 13:32,5,5
Schuster A.,Preis/Leistung,10/19/2018 5:40,5,5
Benedikt C.,"Die Vertragsunterlagen sind leicht verständlich.
Negatives ist mir nicht bekannt.",10/18/2018 19:11,5,5
Vinko K.,Alles gut,10/18/2018 17:42,5,5
Arnold C.,"Zügige Bearbeitung nach der Schadenmeldung; schnell, kompetent, zielorientiert",10/18/2018 16:34,5,5
Constance O.,"Service, guter und fairer Preis",10/18/2018 15:58,5,5
Reiner G.,Alles o.k.,10/18/2018 15:20,5,5
Antonia D.,Sehr günstig,10/18/2018 14:19,5,5
Hartmut O.,Alles super,10/18/2018 10:32,5,5
Agnes J.,Gute Übersicht der Leistungen.,5/10/2018 7:53,5,5
Andreas K.,Preiswert und Verständlich,2/21/2018 15:44,5,5
Christine W.,"Schnelle Bearbeitung, gutes Preis-/Leistungsverhältnis. Hoffe im Schadensfall, der hoffentlich nie eintritt, auch auf gute und schnelle Bearbeitung.",2/10/2018 19:00,5,5
Herbert R.,"Es gibt nichts zu beanstanden,der Vertrag kam zügig zu Stande.",2/5/2018 9:28,5,5
Kirsi Christine M.,Guter Preis mit allem wichtigen drin (z.B. Marderbiss),2/3/2018 18:19,5,5
Heinz-Günter S.,problemlose Abwicklung,2/3/2018 16:56,5,5
Hildegard v.,"Alles perfekt, schnell und komplikationslos",2/1/2018 19:57,5,5
Panagiotis V.,"Besondere Leistung, Servicequalität, super Mitarbeiter.
Ich bin begeistert. 
Vielen Dank",2/1/2018 19:39,5,5
Bernd K.,"Zu den gleichen Bedingungen wie bei der Vorgängerversicherung und 20% gespart, gerne wieder.",1/31/2018 20:40,5,5
Rainer W.,das sehr günstige Angebot.,1/31/2018 19:31,5,5
Christine K.,Der Vertragsabschluss ist problemlos verlaufen.,1/31/2018 14:21,5,5
Jörg W.,Leistung und Service,1/31/2018 12:39,5,5
Nadeshda S.,Preisleistung,1/31/2018 11:59,5,5
Norbert B.,"Daten eingegeben, Vorschläge erhalten, die neue Versicherung hat sich um alles gekümmert. Bestens abgelaufen der Versicherungswechsel.",1/31/2018 7:55,5,5
Lajos V.,"Es hat alles reibungslos geklappt.
Negativ: TANKTALER!!! Habe leider bezüglich des Datenschutzes keine Antwort erhalten und somit habe ich dieses Teil NICHT in mein Fahrzeug installiert.",1/31/2018 7:12,5,5
Markus B.,Der Preis hat sich halbiert.,1/31/2018 5:51,5,5
Pavao K.,Günstige Preis !!!,1/31/2018 0:01,5,5
Johann L.,Voll zufrieden.,1/30/2018 23:28,5,5
Bernd K.,Gutes Preis - Leistungsverhältnis - Anmeldung Registrierung  -  online etwas zu kompleziert . Das geht bei anderen Anbietern  schneller und einfacher.,1/30/2018 23:25,5,5
Gabriele H.,Der einfache Wechsel ohne Papiere und alles sehr komplikationslos! Schnelle Bearbeitung.,1/30/2018 21:39,5,5
Ali A.,Das alles Gans schnell gelaufen ohne Probleme..,1/30/2018 21:07,5,5
ulrich w.,guter servise,1/30/2018 21:05,5,5
Gerda Z.,"Schnelle Bearbeitung, sehr gute Zusammenarbeit, ausführliche Versicherungspolice und telefonisch immer erreichbar und sehr nette und kompetente Beratung. Ich kann keine negative Bewertung machen",1/30/2018 20:32,5,5
Ulrich S.,unkomplizierter Abschluss,1/30/2018 20:06,5,5
Rolf R.,"Noch keine Schadensabwicklung, Rechnungen kommen pünktlich, alles ist online möglich",1/13/2019 13:46,5,5
Andreas W.,"Bisher keine negativen Erfahrungen, allerdings teurer geworden. Der ursprüngliche Preisvorteil ist weg.",12/29/2018 10:46,4,5
Bagemihl N.,"Mir hat alles gut gefallen,aber dieses hoch steigen ohne das man ein Unfall gebaut hatte hatte mir nicht gefallen.",12/16/2018 8:34,4,5
Marian S.,"Verständlichkeit der Vertragsunterlagen, Freundlichkeit der MA",1/24/2018 9:43,5,5
Andreas W.,"einfache Abwicklung, guter Service. Preiseinstufung allerdings hoch.",12/28/2017 15:24,4,5
Ali K.,"alles Perfekt vom Antrag bis zum Vertrag da Direkt und ohne Makler
einfach die Daten von der Vorversicherung übernehmen und Sparen",11/3/2017 14:54,5,5
Werner S.,"Neutral, da ich bisher keine Dienste in Anspruch genommen habe.",10/12/2017 23:54,3,5
Norbert S.,Die schnelle Regulierung.,10/11/2017 17:57,5,5
Walther K.,gute Leistungen,10/11/2017 9:47,4,5
Alain K.,"schlechte bis keine Beratung , ungeduldig bei spät Zahlungen.",10/5/2017 10:51,1,5
Alain K.,"Bearter war einfach mega unhöfflich , am ende musste ich auf die kosten sitzen.",10/5/2017 10:51,1,5
Ernst H.,Ich habe die Versicherung nicht gebraucht!,10/4/2017 14:41,5,5
Sonja Z.,"Bisschen sehr langsam bei der Ausstellung der Anschluss-Rechnungen, die doch wichtig sind für einen Vergleich. Altersanpassung erfolgt nicht automatisch sondern erst auf Nachfrage. Ansonsten sehr freundlich und unkompliziert.",10/4/2017 13:49,4,5
Stephan K.,"Der Tarif scheint mir ein Lockangebot gewesen zu sein. Schon die erste Erhöhung war so hoch, dass die ganze Ersparnis fast wieder aufgefressen ist. Bei der nächsten Gelegenheit wechsele ich wieder!",10/3/2017 23:46,2,5
Walter R.,schnelle online Abwicklung,10/3/2017 16:27,5,5
Gerson W.,"Servicequalität
lässt  zu wünschen übrig .",10/3/2017 15:58,2,5
Daniela N.,Preis Leistung stimmt,10/3/2017 15:33,4,5
Florian L.,"Die Bearbeitung hatte erst gedauert, bei einem Anruf, wurde der Fall SOFORT bearbeitet und abgewickelt. TOP!",10/3/2017 14:47,5,5
Johann J.,Ich habe gott sei dank die Leistungen von der Versicherung nicht in Anspruch nehmen müssen.,10/3/2017 12:54,5,5
Thi Hong N.,Gut gelaufen,10/3/2017 12:02,4,5
Thomas W.,"War alles Ok, da sich der Preis für das Jahr 2016 erhöht hätte, hab ich gewechselt.",10/3/2017 11:44,5,5
Markus D.,Sehr schlecht zu erreichen .,10/3/2017 11:36,2,5
Kevin S.,Schlechte Beratung.,10/3/2017 11:16,2,5
Wolfgang S.,Erste Kontaktaufnahme war positiv auch die Abwicklung des Vertrages  war soweit in Ordnung.,10/3/2017 10:54,3,5
Wolfgang S.,"Es hat mir nichts gutes daran gefallen.Ich habe die Unterstützung und Hilfe ,um mein Recht gegenüber der gegnerischen  Versicherung durchzusetzen sehr vermisst.Ich würde bei Entscheidungen nicht mit einbezogen.",10/3/2017 10:54,1,5
Michael K.,"service, vernünftige abbuchungstage",10/3/2017 9:06,5,5
Karin T.,Sofort im nächsten Jahr Beitrag knackig erhöht ;-(,10/3/2017 0:54,2,5
Christian A.,"Weniger gut: konkrete Schadensabwicklung dauerte sehr lange. Werkstatt hat den Kontakt zu Axa abgebrochen und schliesslich die Schadenbegleichung von mir gefordert mit der Bitte, dass ich mich mit der Versicherung auseinandersetze. Aufgrund der 2. Mahnung der Werkstatt musste ich diese selbst bezahlen, um einen negativen Schufa Eintrag zu verhindern. Axa hat aber den Schadensbetrag in der Zwischenzeit an mich beglichen. Dies war eher eine unangenehme Erfahrung und ich würde lieber einen höheren Beitrag zahlen als diese Probleme zu bekommen.",9/8/2017 10:13,1,5
Christian A.,"Preis gut. Auch bereit Premiumfahrzeuge zu versichern. Einer der wenigen, die Sondertarife für Freiberufler ermöglichen.",9/8/2017 10:13,3,5
Wolfgang W.,"kann ich nicht beantworten, weil ich nie kontackt hatte.",9/4/2017 11:07,4,5
Tom K.,Alles,9/1/2017 10:57,4,5
Kai N.,nicht empfehlenswert,8/25/2017 7:35,1,5
Alain K.,"Bearter war einfach mega unhöfflich , am ende musste ich auf die kosten sitzen.",10/5/2017 10:51,1,5
Alain K.,"schlechte bis keine Beratung , ungeduldig bei spät Zahlungen.",10/5/2017 10:51,1,5
Wolfgang S.,"Es hat mir nichts gutes daran gefallen.Ich habe die Unterstützung und Hilfe ,um mein Recht gegenüber der gegnerischen  Versicherung durchzusetzen sehr vermisst.Ich würde bei Entscheidungen nicht mit einbezogen.",10/3/2017 10:54,1,5
Christian A.,"Weniger gut: konkrete Schadensabwicklung dauerte sehr lange. Werkstatt hat den Kontakt zu Axa abgebrochen und schliesslich die Schadenbegleichung von mir gefordert mit der Bitte, dass ich mich mit der Versicherung auseinandersetze. Aufgrund der 2. Mahnung der Werkstatt musste ich diese selbst bezahlen, um einen negativen Schufa Eintrag zu verhindern. Axa hat aber den Schadensbetrag in der Zwischenzeit an mich beglichen. Dies war eher eine unangenehme Erfahrung und ich würde lieber einen höheren Beitrag zahlen als diese Probleme zu bekommen.",9/8/2017 10:13,1,5
Kai N.,nicht empfehlenswert,8/25/2017 7:35,1,5
Stephan K.,"Der Tarif scheint mir ein Lockangebot gewesen zu sein. Schon die erste Erhöhung war so hoch, dass die ganze Ersparnis fast wieder aufgefressen ist. Bei der nächsten Gelegenheit wechsele ich wieder!",10/3/2017 23:46,2,5
Gerson W.,"Servicequalität
lässt  zu wünschen übrig .",10/3/2017 15:58,2,5
Markus D.,Sehr schlecht zu erreichen .,10/3/2017 11:36,2,5
Kevin S.,Schlechte Beratung.,10/3/2017 11:16,2,5
Karin T.,Sofort im nächsten Jahr Beitrag knackig erhöht ;-(,10/3/2017 0:54,2,5
Werner S.,"Neutral, da ich bisher keine Dienste in Anspruch genommen habe.",10/12/2017 23:54,3,5
Wolfgang S.,Erste Kontaktaufnahme war positiv auch die Abwicklung des Vertrages  war soweit in Ordnung.,10/3/2017 10:54,3,5
Christian A.,"Preis gut. Auch bereit Premiumfahrzeuge zu versichern. Einer der wenigen, die Sondertarife für Freiberufler ermöglichen.",9/8/2017 10:13,3,5
Andreas W.,"Bisher keine negativen Erfahrungen, allerdings teurer geworden. Der ursprüngliche Preisvorteil ist weg.",12/29/2018 10:46,4,5
Bagemihl N.,"Mir hat alles gut gefallen,aber dieses hoch steigen ohne das man ein Unfall gebaut hatte hatte mir nicht gefallen.",12/16/2018 8:34,4,5
Andreas W.,"einfache Abwicklung, guter Service. Preiseinstufung allerdings hoch.",12/28/2017 15:24,4,5
Walther K.,gute Leistungen,10/11/2017 9:47,4,5
Sonja Z.,"Bisschen sehr langsam bei der Ausstellung der Anschluss-Rechnungen, die doch wichtig sind für einen Vergleich. Altersanpassung erfolgt nicht automatisch sondern erst auf Nachfrage. Ansonsten sehr freundlich und unkompliziert.",10/4/2017 13:49,4,5
Daniela N.,Preis Leistung stimmt,10/3/2017 15:33,4,5
Thi Hong N.,Gut gelaufen,10/3/2017 12:02,4,5
Wolfgang W.,"kann ich nicht beantworten, weil ich nie kontackt hatte.",9/4/2017 11:07,4,5
Tom K.,Alles,9/1/2017 10:57,4,5
Rolf R.,"Noch keine Schadensabwicklung, Rechnungen kommen pünktlich, alles ist online möglich",1/13/2019 13:46,5,5
Marian S.,"Verständlichkeit der Vertragsunterlagen, Freundlichkeit der MA",1/24/2018 9:43,5,5
Ali K.,"alles Perfekt vom Antrag bis zum Vertrag da Direkt und ohne Makler
einfach die Daten von der Vorversicherung übernehmen und Sparen",11/3/2017 14:54,5,5
Norbert S.,Die schnelle Regulierung.,10/11/2017 17:57,5,5
Ernst H.,Ich habe die Versicherung nicht gebraucht!,10/4/2017 14:41,5,5
Walter R.,schnelle online Abwicklung,10/3/2017 16:27,5,5
Florian L.,"Die Bearbeitung hatte erst gedauert, bei einem Anruf, wurde der Fall SOFORT bearbeitet und abgewickelt. TOP!",10/3/2017 14:47,5,5
Johann J.,Ich habe gott sei dank die Leistungen von der Versicherung nicht in Anspruch nehmen müssen.,10/3/2017 12:54,5,5
Thomas W.,"War alles Ok, da sich der Preis für das Jahr 2016 erhöht hätte, hab ich gewechselt.",10/3/2017 11:44,5,5
Michael K.,"service, vernünftige abbuchungstage",10/3/2017 9:06,5,5
Maik C.,Alles ist super. Ich werde überhaput nicht wechseln wollen.,8/13/2019 10:24,5,5
Sabine H.,"Eine reine online Versicherung und nur mit der AXA App nutzbar... bei Fragen, wartet man ewig auf eine Antwort...",8/12/2019 15:33,2,5
Christopher H.,Unkompliziert,8/12/2019 15:05,4,5
Torsten M.,Einfach alles ohne Probleme gelaufen!,8/12/2019 13:45,5,5
Marko L.,Leute sehr gut und professionell,8/12/2019 13:40,4,5
Steven H.,Mir gefiel neben dem Preis vor allen die transparente Darstellung und im Anschluss die schnelle Bearbeitung meines Antrages!,8/11/2019 21:47,4,5
Bernd S.,Schnell und einfach,8/11/2019 17:16,4,5
Ali Asghar Z.,Ich kann dazu noch nichts sagen.,8/11/2019 15:55,4,5
Karin B.,"günstiger Tarif, gute Vertragsverwaltung via Homepage",8/11/2019 15:37,4,5
Tim S.,"Alles ok, unkompliziert.",8/10/2019 16:02,5,5
Monika K.,"Längere Bearbeitungszeit, leider nicht daran gedacht das ich Werkstattgebunden bin, hohe Zuzahlung.",8/9/2019 16:12,4,5
Monika K.,Hohe Zuzahlung,8/9/2019 16:12,3,5
Joanna K.,Alles gefallen,8/9/2019 9:49,4,5
Mohammad B.,Das hat mir gefallen alles.,8/8/2019 20:19,4,5
Hüseyin E.,"Ich konnte mich 1 Jahr lang nicht in dem Online Portal anmelden, Und wenn ich angerufen habe habe ich nicht die Möglichkeit gehabt irgendeinen zu sprechen, ich bin immer an der Wartungsschleife dran gescheitert",8/6/2019 7:27,1,5
Pierre G.,Service Qualität war optimal und schnell. Ich habe meine Autozulassung sehr schnell erledigen.,8/5/2019 10:33,4,5
